image_name,true_class,true_class_name,is_correct,top_1_prob,top_1_prob_class,top_1_prob_name,top_2_prob,top_2_prob_class,top_2_prob_name,top_3_prob,top_3_prob_class,top_3_prob_name,top_4_prob,top_4_prob_class,top_4_prob_name,top_5_prob,top_5_prob_class,top_5_prob_name
ILSVRC2012_val_00001079.JPEG,n15075141,"toilet tissue, toilet paper, bathroom tissue",False,71.1625695229,n03459775,"grille, radiator grille",2.04260163009,n03445924,"golfcart, golf cart",1.83293316513,n02795169,"barrel, cask",1.69772040099,n03376595,folding chair,1.3918556273,n03770679,minivan
ILSVRC2012_val_00001218.JPEG,n01608432,kite,True,31.9018572569,n01608432,kite,24.8004734516,n02002556,"white stork, Ciconia ciconia",6.52594268322,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",5.7872582227,n02012849,crane,3.63220646977,n01616318,vulture
ILSVRC2012_val_00001671.JPEG,n07749582,lemon,True,96.9134569168,n07749582,lemon,3.0768878758,n07747607,orange,0.00482164869027,n07716906,spaghetti squash,0.00151653512148,n07753113,fig,0.000886539601197,n07742313,Granny Smith
ILSVRC2012_val_00003109.JPEG,n07930864,cup,False,47.4205821753,n03063599,coffee mug,25.8951038122,n07930864,cup,18.6670616269,n07920052,espresso,1.32367210463,n03786901,mortar,1.19536137208,n04263257,soup bowl
ILSVRC2012_val_00003594.JPEG,n07248320,"book jacket, dust cover, dust jacket, dust wrapper",False,45.8349347115,n07565083,menu,5.44507578015,n03871628,packet,5.35859316587,n04238763,"slide rule, slipstick",3.55961993337,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser",2.34807357192,n03492542,"hard disc, hard disk, fixed disk"
ILSVRC2012_val_00003632.JPEG,n04606251,wreck,True,74.6844828129,n04606251,wreck,4.80264127254,n10565667,scuba diver,4.35305722058,n04347754,"submarine, pigboat, sub, U-boat",2.4345010519,n01494475,"hammerhead, hammerhead shark",1.61624457687,n09399592,"promontory, headland, head, foreland"
ILSVRC2012_val_00003866.JPEG,n09399592,"promontory, headland, head, foreland",True,39.4692748785,n09399592,"promontory, headland, head, foreland",25.5797743797,n04606251,wreck,9.71471965313,n09421951,"sandbar, sand bar",5.2008677274,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",3.76805439591,n09428293,"seashore, coast, seacoast, sea-coast"
ILSVRC2012_val_00004187.JPEG,n09472597,volcano,False,62.4146461487,n09332890,"lakeside, lakeshore",8.89246165752,n09472597,volcano,8.39120671153,n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",4.55314405262,n09399592,"promontory, headland, head, foreland",3.67096811533,n09428293,"seashore, coast, seacoast, sea-coast"
ILSVRC2012_val_00004255.JPEG,n02236044,"mantis, mantid",True,53.1542897224,n02236044,"mantis, mantid",31.5930455923,n02226429,"grasshopper, hopper",4.61537465453,n02229544,cricket,3.47052067518,n01770081,"harvestman, daddy longlegs, Phalangium opilio",2.2111762315,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
ILSVRC2012_val_00004472.JPEG,n13054560,bolete,True,70.4290091991,n13054560,bolete,27.8742820024,n07734744,mushroom,1.37192979455,n12998815,agaric,0.150134740397,n13044778,earthstar,0.117035931908,n13040303,"stinkhorn, carrion fungus"
ILSVRC2012_val_00004613.JPEG,n01641577,"bullfrog, Rana catesbeiana",True,50.2856552601,n01641577,"bullfrog, Rana catesbeiana",35.5133295059,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2.34389193356,n01667114,mud turtle,1.50082977489,n01667778,terrapin,1.39078618959,n01644373,"tree frog, tree-frog"
ILSVRC2012_val_00004756.JPEG,n01518878,"ostrich, Struthio camelus",True,99.9919652939,n01518878,"ostrich, Struthio camelus",0.00348254288838,n01860187,"black swan, Cygnus atratus",0.00109501906991,n02412080,"ram, tup",0.0010725334505,n02018795,bustard,0.000633981107967,n02012849,crane
ILSVRC2012_val_00004920.JPEG,n11939491,daisy,True,99.1031050682,n11939491,daisy,0.643930351362,n03991062,"pot, flowerpot",0.0786826305557,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.0505568226799,n02190166,fly,0.0346786313457,n03930313,"picket fence, paling"
